Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
174,Eetu Luostarinen,24,FLA,C,18,6,4,10,11,4,1.4,6,0,0,0,4,0,0,31,19.4,254,14:05,10,7,3,12,20.0,luostee01
175,Matias Maccelli,22,ARI,LW,16,1,9,10,-2,12,0.7,0,1,0,1,3,6,0,14,7.1,241,15:03,4,8,0,1,0.0,maccema01
176,Anthony Mantha,28,WSH,RW,20,5,5,10,-6,10,0.8,4,1,0,1,4,1,0,35,14.3,304,15:12,7,22,3,2,60.0,manthan01
177,Jared McCann,26,SEA,C,15,7,3,10,-3,0,1.1,5,2,0,0,1,2,0,32,21.9,222,14:48,3,8,15,21,41.7,mccanja01
178,Sean Monahan,28,MTL,C,18,3,7,10,-5,16,0.6,2,1,0,0,6,1,0,39,7.7,311,17:17,3,8,116,106,52.3,monahse01
179,Bryan Rust,30,PIT,RW,18,5,5,10,-8,9,0.5,4,1,0,0,3,2,0,49,10.2,329,18:16,7,26,0,1,0.0,rustbr01
180,Justin Schultz,32,SEA,D,18,3,7,10,0,14,1.5,3,0,0,1,3,4,0,30,10.0,332,18:27,21,9,0,0,,schulju01
181,Conor Sheary,30,WSH,LW,20,7,3,10,-3,10,1.1,6,0,1,1,2,1,0,37,18.9,328,16:23,11,13,7,11,38.9,shearco01
182,Brandon Tanev,31,SEA,LW,18,4,6,10,13,4,1.3,4,0,0,2,6,0,0,29,13.8,277,15:23,20,40,2,5,28.6,tanevbr01
183,Owen Tippett,23,PHI,RW,13,6,4,10,-6,6,0.9,3,3,0,0,4,0,0,38,15.8,221,17:00,13,21,6,1,85.7,tippeow01
184,Oliver Wahlstrom,22,NYI,RW,18,5,5,10,6,14,1.3,4,1,0,1,5,0,0,39,12.8,215,11:57,11,23,5,4,55.6,wahlsol01
185,Blake Wheeler,36,WPG,RW,16,4,6,10,-2,10,0.9,2,2,0,1,6,0,0,29,13.8,276,17:17,5,13,6,5,54.5,wheelbl01
186,Colin White,26,FLA,C,17,4,6,10,5,4,1.1,4,0,0,0,6,0,0,25,16.0,207,12:10,5,10,11,16,40.7,whiteco02
187,Miles Wood,27,NJD,LW,18,6,4,10,9,31,1.4,6,0,0,0,4,0,0,50,12.0,241,13:22,2,25,1,1,50.0,woodmi01
188,Mikael Backlund,33,CGY,C,17,5,4,9,1,10,0.9,4,0,1,1,3,0,1,53,9.4,301,17:43,6,23,150,136,52.4,backlmi01
189,Oliver Bjorkstrand,27,SEA,RW,18,1,8,9,1,2,0.5,0,1,0,0,6,2,0,55,1.8,294,16:20,16,13,7,11,38.9,bjorkol01
190,Jeff Carter,38,PIT,C,15,2,7,9,0,8,0.6,2,0,0,0,3,3,1,26,7.7,227,15:07,13,16,119,76,61.0,carteje01
191,Yegor Chinakhov,21,CBJ,RW,17,2,7,9,-6,4,0.4,2,0,0,0,6,1,0,22,9.1,224,13:10,7,21,1,2,33.3,chinaye01
192,Ross Colton,26,TBL,C,18,4,5,9,-3,14,0.7,3,1,0,1,3,2,0,27,14.8,206,11:27,9,40,36,33,52.2,coltoro01
193,Ty Dellandrea,22,DAL,C,18,2,7,9,4,17,0.7,2,0,0,1,6,0,1,22,9.1,261,14:29,15,21,23,17,57.5,dellaty01
194,Sean Durzi,24,LAK,D,19,3,6,9,-2,8,1.3,2,1,0,1,4,2,0,31,9.7,381,20:04,32,27,0,0,,durzise01
195,Christian Dvorak,26,MTL,C,18,4,5,9,0,0,0.8,4,0,0,1,4,1,0,27,14.8,289,16:05,18,2,127,101,55.7,dvorach01
196,Conor Garland,26,VAN,RW,17,3,6,9,-1,4,0.6,2,1,0,1,5,1,0,31,9.7,267,15:44,3,4,1,3,25.0,garlaco01
197,Barclay Goodrow,29,NYR,RW,19,4,5,9,1,13,0.9,4,0,0,0,3,1,1,26,15.4,281,14:46,13,28,65,80,44.8,goodrba01
198,Yanni Gourde,31,SEA,C,17,2,7,9,7,9,0.8,1,0,1,0,7,0,0,32,6.3,291,17:08,8,23,84,98,46.2,gourdya01
199,Victor Hedman,32,TBL,D,16,1,8,9,2,8,1.4,1,0,0,0,5,3,0,36,2.8,398,24:53,33,29,0,0,,hedmavi01
200,Kevin Labanc,27,SJS,RW,19,3,6,9,-2,6,0.7,3,0,0,0,5,1,0,37,8.1,294,15:27,9,9,0,0,,labanke01
201,Kris Letang,35,PIT,D,17,1,8,9,-11,6,0.2,0,1,0,0,6,2,0,37,2.7,406,23:53,29,30,0,0,,letankr01
202,Anton Lundell,21,FLA,C,18,1,8,9,3,4,0.5,1,0,0,0,6,2,0,45,2.2,317,17:37,11,7,112,120,48.3,lundean01
203,Jordan Martinook,30,CAR,LW,18,4,5,9,8,14,1.2,4,0,0,1,5,0,0,32,12.5,244,13:33,6,29,9,8,52.9,martijo01
204,Michael McLeod,24,NJD,C,18,2,7,9,4,4,0.8,2,0,0,0,7,0,0,22,9.1,202,11:14,8,32,127,90,58.5,mcleomi01
205,Mason Mctavish,20,ANA,C,18,2,7,9,-3,8,0.5,1,1,0,0,5,2,0,32,6.3,238,13:12,3,13,23,23,50.0,mctavma01
206,Ilya Mikheyev,28,VAN,F,15,4,5,9,5,2,0.9,3,1,0,0,4,1,0,30,13.3,257,17:06,5,5,1,3,25.0,mikheil01
207,J.J. Moser,22,ARI,D,16,1,8,9,-7,12,1.1,1,0,0,0,2,6,0,19,5.3,381,23:48,30,16,0,0,,moserja01
208,Kyle Okposo,34,BUF,RW,14,1,8,9,0,8,0.6,1,0,0,0,5,3,0,29,3.4,215,15:20,2,15,17,19,47.2,okposky01
209,Kyle Palmieri,31,NYI,RW,19,6,3,9,-2,6,0.9,5,1,0,1,2,1,0,36,16.7,312,16:26,6,31,4,10,28.6,palmiky01
210,Shane Pinto,22,OTT,C,17,8,1,9,-2,2,1.1,5,3,0,2,1,0,0,37,21.6,258,15:09,4,12,95,76,55.6,pintosh01
211,Nick Ritchie,27,ARI,LW,16,6,3,9,-7,16,0.9,2,4,0,2,1,2,0,22,27.3,234,14:37,5,34,1,2,33.3,ritchni01
212,Matt Roy,27,LAK,D,21,3,6,9,0,2,1.5,3,0,0,0,5,0,1,39,7.7,379,18:04,39,29,0,0,,royma04
213,Jake Sanderson,20,OTT,D,17,0,9,9,5,4,1.4,0,0,0,0,4,5,0,26,0.0,351,20:38,26,17,0,0,,sandeja01
214,Moritz Seider,21,DET,D,18,1,8,9,-6,6,0.8,1,0,0,1,3,4,1,32,3.1,412,22:53,43,37,0,0,,seidemo01
215,Yegor Sharangovich,24,NJD,C,18,5,4,9,-1,4,0.8,3,0,2,1,3,0,1,36,13.9,276,15:20,12,7,4,4,50.0,sharaye01
216,Calen Addison,22,MIN,D,18,0,8,8,-10,10,0.5,0,0,0,0,2,6,0,22,0.0,308,17:07,12,7,0,0,,addisca01
217,Andreas Athanasiou,28,CHI,C,17,5,3,8,0,18,0.9,4,1,0,0,2,1,0,32,15.6,274,16:07,11,8,4,13,23.5,athanan01
218,Ivan Barbashev,27,STL,C,17,3,5,8,6,6,0.9,3,0,0,1,4,1,0,26,11.5,256,15:03,8,33,19,29,39.6,barbaiv01
219,Nathan Bastian,25,NJD,RW,17,3,5,8,4,13,0.8,3,0,0,1,5,0,0,21,14.3,236,13:53,15,45,1,10,9.1,bastina01
220,Filip Chytil,23,NYR,C,13,4,4,8,2,12,0.9,4,0,0,1,4,0,0,20,20.0,172,13:15,10,13,43,65,39.8,chytifi01
221,Connor Clifton,27,BOS,D,18,2,6,8,11,24,2.0,2,0,0,0,6,0,0,33,6.1,379,21:04,26,53,0,0,,cliftco01
222,Charlie Coyle,30,BOS,C,18,5,3,8,9,6,1.0,4,0,1,0,2,0,1,28,17.9,312,17:18,15,17,106,95,52.7,coylech01
223,Lawson Crouse,25,ARI,LW,16,6,2,8,-4,6,0.8,4,2,0,0,2,0,0,31,19.4,279,17:27,9,40,2,6,25.0,crousla01
224,Adam Erne,27,DET,LW,18,2,6,8,-5,4,0.3,2,0,0,0,5,0,1,14,14.3,253,14:03,22,54,5,7,41.7,ernead01
225,Brendan Gallagher,30,MTL,RW,18,3,5,8,-2,10,0.6,3,0,0,1,3,2,0,45,6.7,262,14:32,7,9,4,5,44.4,gallabr01
226,Frederick Gaudreau,29,MIN,C,18,3,5,8,3,0,0.7,2,0,1,0,4,0,1,39,7.7,311,17:15,12,9,111,113,49.6,gaudrfr01
227,Morgan Geekie,24,SEA,C,15,4,4,8,12,11,1.3,4,0,0,3,4,0,0,13,30.8,149,9:58,9,15,67,83,44.7,geekimo01
228,Danton Heinen,27,PIT,C,18,3,5,8,-1,4,0.5,2,1,0,0,4,1,0,29,10.3,243,13:29,7,22,1,1,50.0,heineda01
229,Mike Hoffman,33,MTL,C,16,5,3,8,3,8,1.0,5,0,0,1,2,1,0,34,14.7,225,14:03,8,7,6,2,75.0,hoffmmi02
230,Jonathan Huberdeau,29,CGY,LW,14,2,6,8,1,6,0.6,1,1,0,0,2,4,0,27,7.4,238,17:01,9,17,0,2,0.0,huberjo01
231,Marcus Johansson,32,WSH,C,20,4,4,8,-2,4,0.6,3,1,0,1,1,3,0,33,12.1,323,16:08,6,9,7,6,53.8,johanma03
232,Kent Johnson,20,CBJ,C,14,3,5,8,-2,2,0.7,3,0,0,0,4,1,0,17,17.6,176,12:36,5,4,0,1,0.0,johnske01
233,David Kampf,28,TOR,C,19,3,5,8,3,2,0.7,3,0,0,1,4,0,1,25,12.0,279,14:41,6,17,136,125,52.1,kampfda01
234,John Klingberg,30,ANA,D,18,1,7,8,-10,8,0.4,1,0,0,0,4,3,0,24,4.2,425,23:37,22,17,0,0,,klingjo01
235,Torey Krug,31,STL,D,17,4,4,8,-8,6,0.9,1,3,0,1,3,1,0,31,12.9,334,19:39,21,11,0,0,,krugto01
236,Sean Kuraly,30,CBJ,C,15,5,3,8,-5,6,0.7,5,0,0,0,3,0,0,24,20.8,199,13:17,13,35,116,116,50.0,kuralse01
237,Philipp Kurashev,23,CHI,C,17,2,6,8,-10,6,0.2,2,0,0,1,3,3,0,31,6.5,284,16:41,4,17,7,10,41.2,kurasph01
238,Esa Lindell,28,DAL,D,18,2,6,8,13,6,2.0,2,0,0,1,5,0,1,24,8.3,361,20:05,25,33,0,0,,lindees01
239,Adam Lowry,29,WPG,LW,16,3,5,8,5,6,0.9,1,0,2,0,4,1,0,24,12.5,237,14:50,8,42,115,123,48.3,lowryad01
240,John Marino,25,NJD,D,18,2,6,8,11,8,2.0,2,0,0,0,6,0,0,24,8.3,389,21:36,19,19,0,0,,marinjo01
241,Brock McGinn,28,PIT,LW,18,5,3,8,4,2,0.9,4,0,1,3,3,0,0,28,17.9,237,13:11,9,22,1,3,25.0,mcginbr01
242,Dawson Mercer,21,NJD,C,18,4,4,8,-1,6,0.7,2,1,1,2,2,2,0,35,11.4,257,14:17,13,7,27,37,42.2,merceda01
243,Ryan O'Reilly,31,STL,C,17,5,3,8,-10,6,0.4,3,1,1,2,3,0,0,36,13.9,307,18:03,11,5,157,135,53.8,oreilry01
244,Zach Parise,38,NYI,LW,19,5,3,8,6,2,1.0,4,0,1,1,2,1,0,41,12.2,311,16:22,19,17,2,4,33.3,parisza01
245,Adam Pelech,28,NYI,D,19,2,6,8,8,16,1.9,2,0,0,0,6,0,0,27,7.4,402,21:10,31,28,0,0,,pelecad01
246,Cole Perfetti,21,WPG,C,16,3,5,8,-2,8,0.6,3,0,0,0,3,2,0,26,11.5,250,15:39,10,13,1,4,20.0,perfeco01
247,John-Jason Peterka,21,BUF,RW,18,3,5,8,-3,8,0.5,3,0,0,1,3,2,0,27,11.1,254,14:05,1,4,0,1,0.0,peterjo01
248,Jeff Petry,35,PIT,D,18,3,5,8,4,14,1.4,1,2,0,0,5,0,0,28,10.7,389,21:36,36,56,0,0,,petryje01
249,Marcus Pettersson,26,PIT,D,18,0,8,8,5,8,1.2,0,0,0,0,8,0,0,29,0.0,355,19:44,35,38,0,0,,pettema01
250,Owen Power,20,BUF,D,18,0,8,8,2,4,1.2,0,0,0,0,6,1,1,22,0.0,428,23:45,23,9,0,0,,powerow01
251,Ivan Provorov,26,PHI,D,18,1,7,8,-3,6,1.1,1,0,0,0,6,1,0,39,2.6,425,23:37,48,28,0,0,,provoiv01
252,Michael Rasmussen,23,DET,C,16,2,6,8,-1,14,0.5,2,0,0,0,6,0,0,23,8.7,228,14:14,18,44,68,88,43.6,rasmumi01
253,Sam Reinhart,27,FLA,C,18,5,3,8,-7,2,0.3,1,4,0,0,1,2,0,54,9.3,356,19:48,7,9,18,24,42.9,reinhsa01
254,Evan Rodrigues,29,COL,C,16,6,2,8,-5,8,0.6,2,4,0,0,2,0,0,42,14.3,297,18:35,4,11,48,46,51.1,rodriev01
255,Adam Ruzicka,23,CGY,C,7,4,4,8,0,2,1.0,3,1,0,1,3,1,0,12,33.3,95,13:37,0,7,6,6,50.0,ruzicad01
256,Daniel Sprong,25,SEA,RW,11,3,5,8,5,2,1.0,1,2,0,0,3,2,0,20,15.0,119,10:49,2,4,1,1,50.0,spronda01
257,Nico Sturm,27,SJS,C,20,6,2,8,-5,6,0.7,6,0,0,0,2,0,0,33,18.2,288,14:24,12,29,101,71,58.7,sturmni01
258,Pius Suter,26,DET,F,17,4,4,8,-1,0,0.7,3,0,1,0,4,0,0,26,15.4,221,13:00,9,10,28,36,43.8,suterpi01
259,Alexander Wennberg,28,SEA,C,18,3,5,8,2,6,0.5,2,1,0,0,4,1,0,28,10.7,349,19:22,12,13,124,155,44.4,wennbal01
260,Zach Werenski,25,CBJ,D,13,3,5,8,-6,0,0.8,3,0,0,0,3,2,0,41,7.3,307,23:36,24,5,0,0,,werenza01
261,Fabian Zetterlund,23,NJD,W,13,3,5,8,9,4,1.1,2,1,0,1,3,2,0,33,9.1,176,13:31,3,9,0,1,0.0,zettefa01
262,Josh Anderson,28,MTL,RW,16,5,2,7,-2,21,0.7,4,1,0,2,2,0,0,31,16.1,228,14:16,5,32,11,5,68.8,anderjo05
263,Anthony Beauvillier,25,NYI,LW,18,3,4,7,-4,2,0.4,3,0,0,0,4,0,0,34,8.8,272,15:08,9,14,0,0,,beauvan01
264,William Carrier,28,VEG,LW,18,4,3,7,1,4,0.7,4,0,0,2,3,0,0,36,11.1,200,11:08,8,51,0,1,0.0,carriwi01
265,Jason Dickinson,27,CHI,C,13,4,3,7,-3,6,0.7,3,1,0,1,1,0,2,18,22.2,203,15:38,12,21,48,40,54.5,dickija01
266,Oliver Ekman-Larsson,31,VAN,D,18,1,6,7,-1,8,0.8,1,0,0,0,4,1,1,33,3.0,395,21:58,15,30,0,0,,ekmanol01
267,Lars Eller,33,WSH,C,20,3,4,7,-1,14,0.5,3,0,0,0,4,0,0,30,10.0,297,14:50,13,27,125,121,50.8,ellerla01
268,Cam Fowler,31,ANA,D,18,1,6,7,-8,4,0.5,0,1,0,0,4,2,0,34,2.9,449,24:55,21,5,0,0,,fowleca01
269,Ryan Graves,27,NJD,D,18,3,4,7,15,4,2.3,3,0,0,0,3,0,1,25,12.0,348,19:21,24,19,0,0,,gravery01
270,A.J. Greer,26,BOS,LW,13,3,4,7,3,24,0.8,3,0,0,0,4,0,0,13,23.1,132,10:10,6,32,0,0,,greeraj01
271,Carl Grundstrom,25,LAK,RW,20,4,3,7,-5,2,0.4,3,1,0,1,3,0,0,35,11.4,247,12:21,4,55,0,1,0.0,grundca01
272,Dylan Guenther,19,ARI,RW,15,3,4,7,-9,4,0.4,0,3,0,1,2,2,0,21,14.3,182,12:08,4,8,0,1,0.0,guentdy01
273,Kaiden Guhle,21,MTL,D,18,1,6,7,-5,13,0.7,1,0,0,0,6,0,0,16,6.3,372,20:39,31,37,0,0,,guhleka01
274,Erik Gustafsson,30,WSH,D,20,0,7,7,-10,11,0.4,0,0,0,0,3,4,0,27,0.0,366,18:17,19,18,0,0,,gustaer02
275,Erik Haula,31,NJD,LW,18,1,6,7,4,8,0.4,0,1,0,0,5,1,0,43,2.3,295,16:25,14,17,142,102,58.2,haulaer01
276,Kaapo Kakko,21,NYR,RW,19,3,4,7,-4,4,0.4,3,0,0,0,4,0,0,38,7.9,298,15:40,11,12,0,1,0.0,kakkoka01
277,Phil Kessel,35,VEG,RW,19,3,4,7,-1,6,0.5,3,0,0,0,1,3,0,35,8.6,246,12:57,7,2,0,0,,kesseph01
278,Luke Kunin,25,SJS,C,20,3,4,7,-12,24,0.1,1,2,0,0,3,1,0,42,7.1,314,15:43,18,41,1,3,25.0,kuninlu01
279,Sam Lafferty,27,CHI,C,17,3,4,7,-4,11,0.5,1,0,2,1,3,0,1,25,12.0,246,14:29,4,24,71,72,49.7,laffesa01
280,Alexis Lafreniere,21,NYR,LW,19,2,5,7,-1,2,0.4,2,0,0,0,5,0,0,37,5.4,307,16:11,5,38,10,9,52.6,lafreal01
281,Scott Laughton,28,PHI,C,18,3,4,7,-10,10,0.0,1,1,1,0,3,1,0,44,6.8,345,19:09,8,52,126,138,47.7,laughsc01
282,Olli Maatta,28,DET,D,18,2,5,7,5,0,1.5,2,0,0,0,5,0,0,16,12.5,362,20:06,35,16,0,0,,maattol01
283,Zack MacEwen,26,PHI,C,16,3,4,7,3,17,0.7,3,0,0,2,4,0,0,29,10.3,220,13:45,9,60,6,6,50.0,macewza01
284,Charlie McAvoy,25,BOS,D,5,1,6,7,3,6,1.1,1,0,0,1,3,3,0,13,7.7,106,21:08,5,6,0,0,,mcavoch01
285,Tyler Motte,27,OTT,C,17,2,5,7,2,2,0.5,2,0,0,0,5,0,0,30,6.7,251,14:45,13,38,15,18,45.5,mottety01
286,Stefan Noesen,29,CAR,RW,17,2,5,7,-4,4,0.4,0,2,0,0,3,2,0,37,5.4,207,12:09,5,13,1,1,50.0,noesest01
287,Gustav Nyquist,33,CBJ,RW,17,3,4,7,-1,10,0.4,3,0,0,0,4,0,0,28,10.7,294,17:16,11,13,3,7,30.0,nyquigu01
288,Ryan Pulock,28,NYI,D,19,1,6,7,7,0,1.6,1,0,0,0,5,1,0,29,3.4,384,20:12,30,37,0,0,,pulocry01
289,Taylor Raddysh,24,CHI,RW,17,4,3,7,-5,6,0.5,2,2,0,0,2,1,0,23,17.4,261,15:21,6,25,2,1,66.7,raddyta01
290,Luke Schenn,33,VAN,D,18,1,6,7,6,37,1.3,1,0,0,0,6,0,0,26,3.8,316,17:34,26,81,0,0,,schenlu01
291,Brady Skjei,28,CAR,D,18,2,5,7,10,6,2.0,1,0,1,1,5,0,0,38,5.3,371,20:38,14,24,0,0,,skjeibr01
292,Jordan Staal,34,CAR,C,18,4,3,7,6,2,0.8,4,0,0,0,3,0,0,24,16.7,281,15:37,4,42,155,139,52.7,staaljo01
293,Oskar Sundqvist,28,DET,C,11,1,6,7,-4,12,0.3,1,0,0,0,3,3,0,12,8.3,173,15:45,8,17,13,9,59.1,sundqos01
294,Teuvo Teravainen,28,CAR,F,14,0,7,7,3,2,0.4,0,0,0,0,6,1,0,32,0.0,232,16:32,3,8,6,4,60.0,teravte01
295,Noel Acciari,31,STL,C,17,3,3,6,3,4,0.6,3,0,0,0,2,0,1,23,13.0,220,12:55,19,58,77,58,57.0,acciano01
296,Mason Appleton,27,WPG,C,14,1,5,6,1,6,0.4,1,0,0,0,5,0,0,23,4.3,232,16:34,3,26,0,2,0.0,applema01
297,Rasmus Asplund,25,BUF,F,16,2,4,6,1,0,0.4,1,0,1,0,4,0,0,22,9.1,201,12:34,6,7,17,25,40.5,asplura01
298,Jake Bean,24,CBJ,D,14,1,5,6,-2,6,0.7,1,0,0,0,4,1,0,16,6.3,220,15:42,21,13,0,0,,beanja01
299,Jacob Bryson,25,BUF,D,18,1,5,6,-12,2,0.0,1,0,0,0,4,0,1,8,12.5,330,18:19,30,14,0,0,,brysoja01
300,Noah Cates,23,PHI,LW,18,3,3,6,3,0,0.4,3,0,0,1,2,1,0,20,15.0,318,17:39,20,24,81,134,37.7,catesno01
301,Thomas Chabot,26,OTT,D,14,3,3,6,-4,18,0.8,1,2,0,0,2,1,0,34,8.8,360,25:45,22,20,0,0,,chaboth01
302,Ian Cole,33,TBL,D,15,1,5,6,2,10,1.0,1,0,0,0,5,0,0,23,4.3,290,19:19,32,24,0,0,,coleia01
303,Blake Coleman,31,CGY,C,17,2,4,6,-1,14,0.4,2,0,0,0,4,0,0,28,7.1,242,14:14,10,34,3,3,50.0,colembl01
304,J.T. Compher,27,COL,LW,16,1,5,6,3,6,0.3,0,1,0,0,5,0,0,17,5.9,272,17:02,12,6,115,138,45.5,comphj.01
305,Nic Dowd,32,WSH,C,20,3,3,6,-2,14,0.4,3,0,0,0,2,0,1,16,18.8,274,13:43,16,55,131,151,46.5,dowdni01
306,Mattias Ekholm,32,NSH,D,18,1,5,6,1,8,1.2,1,0,0,0,3,2,0,27,3.7,380,21:05,19,26,0,0,,ekholma01
307,Jesper Fast,31,CAR,RW,18,2,4,6,4,2,0.5,2,0,0,1,4,0,0,16,12.5,262,14:34,6,28,3,2,60.0,fastje01
308,Christian Fischer,25,ARI,RW,16,3,3,6,0,10,0.5,3,0,0,0,3,0,0,28,10.7,255,15:55,9,29,0,13,0.0,fischch01
309,Sam Gagner,33,WPG,C,16,3,3,6,3,4,0.7,2,1,0,1,1,2,0,24,12.5,213,13:18,5,4,7,17,29.2,gagnesa01
310,Noah Hanifin,26,CGY,D,16,1,5,6,-6,8,0.6,1,0,0,0,3,1,1,50,2.0,365,22:48,25,20,0,0,,hanifno01
311,Vinnie Hinostroza,28,BUF,C,11,0,6,6,-1,2,0.3,0,0,0,0,5,0,1,13,0.0,143,13:02,3,0,0,1,0.0,hinosvi01
312,Calle Jarnkrok,31,TOR,C,19,4,2,6,-1,10,0.5,3,0,1,0,2,0,0,28,14.3,248,13:03,3,16,20,26,43.5,jarnkca01
313,Seth Jarvis,20,CAR,C,18,3,3,6,0,0,0.4,3,0,0,0,3,0,0,33,9.1,289,16:04,10,17,3,6,33.3,jarvise01
314,Tyler Johnson,32,CHI,C,6,2,4,6,1,6,0.7,1,1,0,0,2,2,0,12,16.7,84,13:58,3,13,0,3,0.0,johnsty01
315,Wyatt Johnston,19,DAL,C,18,4,2,6,-2,8,0.4,3,1,0,0,1,1,0,27,14.8,258,14:20,9,4,21,39,35.0,johnswy01
316,Caleb Jones,25,CHI,D,14,0,6,6,-7,12,0.4,0,0,0,0,4,2,0,19,0.0,257,18:22,24,18,0,0,,jonesca01
317,Alexander Kerfoot,28,TOR,C,19,1,5,6,2,6,0.2,0,1,0,0,4,0,1,29,3.4,307,16:10,11,6,25,26,49.0,kerfoal01
318,Blake Lizotte,25,LAK,C,21,5,1,6,-3,12,0.5,5,0,0,1,1,0,0,31,16.1,238,11:19,12,24,94,99,48.7,lizotbl01
319,Andrew Mangiapane,26,CGY,LW,17,3,3,6,-6,4,0.2,3,0,0,1,2,0,1,32,9.4,272,16:00,8,22,1,2,33.3,mangian01
320,Scott Mayfield,30,NYI,D,19,4,2,6,2,18,1.4,4,0,0,0,2,0,0,27,14.8,364,19:08,31,22,0,0,,mayfisc01
321,Ryan McDonagh,33,NSH,D,18,0,6,6,2,6,1.1,0,0,0,0,6,0,0,17,0.0,373,20:43,41,16,0,0,,mcdonry01
322,Jaycob Megna,30,SJS,D,18,0,6,6,2,6,1.2,0,0,0,0,6,0,0,16,0.0,311,17:15,21,18,0,0,,megnaja02
323,Matthew Nieto,30,SJS,LW,20,3,3,6,-9,4,0.1,3,0,0,0,3,0,0,32,9.4,301,15:03,9,19,2,1,66.7,nietoma01
324,Tomas Nosek,30,BOS,C,18,2,4,6,7,25,0.6,1,0,1,0,4,0,0,14,14.3,243,13:30,8,20,99,74,57.2,nosekto01
325,Logan O'Connor,26,COL,RW,16,5,1,6,7,8,0.9,4,0,1,0,0,0,1,24,20.8,241,15:03,15,23,0,5,0.0,oconnlo01
326,Nicklaus Perbix,24,TBL,D,14,3,3,6,7,4,1.5,3,0,0,1,3,0,0,19,15.8,216,15:25,17,14,0,0,,perbini01
327,Jack Quinn,21,BUF,RW,13,1,5,6,0,0,0.4,1,0,0,0,1,4,0,15,6.7,166,12:47,1,9,4,2,66.7,quinnja01
328,Brett Ritchie,29,CGY,RW,17,4,2,6,2,14,0.8,4,0,0,0,2,0,0,24,16.7,170,10:00,2,40,1,0,100.0,ritchbr01
329,Eric Robinson,27,CBJ,LW,16,2,4,6,-4,2,0.2,2,0,0,0,4,0,0,13,15.4,209,13:03,7,26,0,6,0.0,robiner01
330,Alexander Romanov,23,NYI,D,19,0,6,6,4,10,1.2,0,0,0,0,6,0,0,26,0.0,379,19:57,46,38,0,0,,romanal01
331,Jack Roslovic,26,CBJ,C,15,1,5,6,-6,0,0.0,0,0,1,0,4,1,0,24,4.2,245,16:21,13,12,112,105,51.6,rosloja01
332,David Savard,32,MTL,D,18,0,6,6,-3,16,0.7,0,0,0,0,6,0,0,14,0.0,402,22:20,54,15,0,0,,savarda01
333,Jonas Siegenthaler,25,NJD,D,18,1,5,6,17,12,2.1,0,1,0,0,5,0,0,24,4.2,368,20:26,28,22,0,0,,siegejo01
334,Jared Spurgeon,33,MIN,D,18,1,5,6,8,4,1.8,1,0,0,0,4,0,1,28,3.6,379,21:05,41,19,0,0,,spurgja01
335,Evgeny Svechnikov,26,SJS,LW,16,3,3,6,2,4,0.7,3,0,0,0,3,0,0,16,18.8,175,10:58,5,19,5,1,83.3,svechev01
336,Frank Vatrano,28,ANA,LW,18,4,2,6,-5,8,0.2,4,0,0,0,2,0,0,59,6.8,319,17:44,18,30,1,4,20.0,vatrafr01
337,Jimmy Vesey,29,NYR,LW,18,2,4,6,5,2,0.6,1,0,1,0,4,0,0,32,6.3,220,12:15,8,29,2,6,25.0,veseyji02
338,Jakub Voracek,33,CBJ,RW,11,1,5,6,-7,0,0.1,0,1,0,0,5,0,0,17,5.9,176,15:58,7,2,1,2,33.3,voracja01
339,Nikita Zadorov,27,CGY,D,17,4,2,6,9,21,2.0,4,0,0,0,1,1,0,37,10.8,348,20:28,15,51,0,0,,zadorni01
340,Josh Bailey,33,NYI,C,16,3,2,5,2,2,0.4,3,0,0,2,2,0,0,24,12.5,244,15:15,5,2,9,18,33.3,bailejo01
341,William Borgen,26,SEA,D,18,2,3,5,3,15,1.1,2,0,0,1,3,0,0,15,13.3,283,15:45,22,37,0,0,,borgewi01
342,Evan Bouchard,23,EDM,D,18,0,5,5,-8,6,0.0,0,0,0,0,3,1,1,39,0.0,349,19:22,18,33,0,0,,bouchev01
343,Bowen Byram,21,COL,D,10,2,3,5,3,4,1.0,1,0,1,0,2,1,0,11,18.2,208,20:47,11,15,0,0,,byrambo01
344,Ben Chiarot,31,DET,D,18,2,3,5,-5,14,0.6,2,0,0,0,3,0,0,36,5.6,378,21:00,33,36,0,0,,chiarbe01
345,Connor Dewar,23,MIN,C,17,1,4,5,1,29,0.3,0,0,1,0,3,0,1,19,5.3,193,11:20,11,35,26,34,43.3,dewarco01
346,Alexander Edler,36,LAK,D,18,0,5,5,-1,14,0.6,0,0,0,0,5,0,0,17,0.0,268,14:55,25,30,0,0,,edleral01
347,Mario Ferraro,24,SJS,D,20,1,4,5,-12,8,0.4,1,0,0,0,3,1,0,23,4.3,465,23:16,35,24,0,1,0.0,ferrama01
348,Trent Frederic,24,BOS,C,17,3,2,5,9,16,0.8,3,0,0,2,2,0,0,21,14.3,177,10:26,5,22,2,4,33.3,fredetr01
349,Zemgus Girgensons,29,BUF,C,17,3,2,5,0,6,0.4,3,0,0,0,2,0,0,17,17.6,200,11:45,13,12,39,40,49.4,girgeze01
350,Matt Grzelcyk,29,BOS,D,14,1,4,5,7,4,1.3,1,0,0,1,4,0,0,25,4.0,248,17:44,19,10,0,0,,grzelma01
