Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
37,Sebastian Aho,25,CAR,F,18,9,10,19,-1,12,2.1,7,2,0,2,6,3,1,49,18.4,355,19:45,4,17,151,123,55.1,ahose01
38,Cole Caufield,22,MTL,RW,18,11,8,19,0,0,2.4,9,2,0,0,6,2,0,72,15.3,325,18:04,4,9,0,0,,caufico01
39,Nico Hischier,24,NJD,C,17,9,10,19,13,2,2.6,7,2,0,3,8,1,1,56,16.1,330,19:26,11,7,205,152,57.4,hischni01
40,Jack Hughes,21,NJD,C,18,7,12,19,7,2,2.1,5,2,0,1,8,4,0,77,9.1,346,19:13,3,3,34,70,32.7,hugheja03
41,Zach Hyman,30,EDM,C,18,9,10,19,-1,10,1.9,5,4,0,1,8,2,0,59,15.3,362,20:07,7,26,2,2,50.0,hymanza01
42,Travis Konecny,25,PHI,C,17,7,12,19,-9,29,1.6,5,2,0,2,6,5,1,56,12.5,330,19:25,13,18,11,8,57.9,konectr01
43,Cale Makar,24,COL,D,16,4,15,19,9,6,3.1,2,2,0,2,6,9,0,42,9.5,427,26:41,29,22,0,0,,makarca01
44,Evgeni Malkin,36,PIT,C,18,7,12,19,2,14,1.9,5,2,0,0,8,4,0,60,11.7,327,18:10,4,7,109,101,51.9,malkiev01
45,Brock Nelson,31,NYI,C,19,9,10,19,3,10,2.2,7,2,0,2,6,4,0,63,14.3,354,18:37,9,13,132,137,49.1,nelsobr01
46,Kevin Fiala,26,LAK,LW,21,6,12,18,-4,12,1.4,4,2,0,1,9,3,0,52,11.5,357,17:01,8,13,4,3,57.1,fialake01
47,Filip Forsberg,28,NSH,C,18,7,11,18,-5,2,1.6,6,1,0,1,5,6,0,62,11.3,326,18:05,10,33,0,0,,forsbfi01
